benchmark,correlation,beta,r2,security
BIMBOA,1.0,1.0,1.0,BIMBOA
BIMBOA,0.43213,0.21319,0.18674,MXX
BIMBOA,0.36234,0.41294,0.13129,GCARSOA1
BIMBOA,0.351,0.35182,0.1232,GFINBURO
BIMBOA,0.34468,1.13879,0.1188,prueba
BIMBOA,0.23047,0.03062,0.05312,inflationmex
BIMBOA,0.22582,0.23596,0.05099,GFNORTEO
BIMBOA,0.22102,0.18543,0.04885,PINFRA
BIMBOA,0.21399,0.17681,0.04579,KIMBERA
BIMBOA,0.19828,0.23197,0.03931,CEMEXCPO
BIMBOA,0.1869,0.1817,0.03493,ASURB
BIMBOA,0.18576,0.1898,0.03451,BBAJIOO
BIMBOA,0.18505,0.08659,0.03424,MSCI_W
BIMBOA,0.1771,0.09773,0.03136,SPX
BIMBOA,0.17362,0.12936,0.03014,NASDAQ
BIMBOA,0.1724,0.09761,0.02972,QUAL
BIMBOA,0.17213,0.1186,0.02963,IVW
BIMBOA,0.16937,0.08119,0.02869,DJI
BIMBOA,0.16615,0.03023,0.02761,inflationusa
BIMBOA,0.16511,0.20356,0.02726,QCOM
BIMBOA,0.16133,0.18945,0.02603,SOX
BIMBOA,0.16059,0.18481,0.02579,ALPEKA
BIMBOA,0.16049,0.55269,0.02576,SOXL
BIMBOA,0.15704,0.07679,0.02466,IWD
BIMBOA,0.15426,0.18636,0.0238,GMEXICOB
BIMBOA,0.15361,0.1148,0.0236,LIVEPOLC1
BIMBOA,0.15275,0.22669,0.02333,PEOLES
BIMBOA,0.14931,0.12269,0.02229,CHDRAUIB
BIMBOA,0.14505,0.1552,0.02104,OMAB
BIMBOA,0.13686,0.06431,0.01873,XLV
BIMBOA,0.12753,0.21697,0.01626,NVDA
BIMBOA,0.12171,0.1723,0.01481,NFLX
BIMBOA,0.12085,0.14459,0.0146,NEMAKA
BIMBOA,0.11872,0.08762,0.01409,KOFUBL
BIMBOA,0.11843,0.06028,0.01402,MSCI_EM
BIMBOA,0.10946,0.09658,0.01198,BAC
BIMBOA,0.10275,0.09969,0.01056,USB
BIMBOA,0.09437,0.34966,0.00891,MARA
BIMBOA,0.09399,0.05255,0.00883,BRKb
BIMBOA,0.0913,0.09244,0.00833,BBVA
BIMBOA,0.08969,0.16165,0.00805,GAP
BIMBOA,0.08779,0.33397,0.00771,TerraClassicUSD
BIMBOA,0.07259,0.15382,0.00527,URTH
BIMBOA,0.07084,933.08499,0.00502,USD_XAU
BIMBOA,0.06778,0.24997,0.00459,GPAGF
BIMBOA,0.06644,0.06023,0.00441,AUTLANB
BIMBOA,0.06255,0.1423,0.00391,IYY
BIMBOA,0.04036,0.03825,0.00163,BACHOCOB
BIMBOA,0.0341,0.01706,0.00116,IAU
BIMBOA,0.01156,0.02858,0.00013,XAU_USD
BIMBOA,0.0098,0.06961,0.0001,MU
BIMBOA,-0.00448,-0.00534,2e-05,USDMXNm
BIMBOA,-0.01791,-0.01946,0.00032,BRENT
BIMBOA,-0.06621,-0.01624,0.00438,USDEUR
BIMBOA,-0.07324,-0.01662,0.00536,DXY
BIMBOA,-0.12707,-0.04587,0.01615,USDMXN
BIMBOA,-0.13024,-0.59048,0.01696,UVIX
BIMBOA,-0.14284,-0.59778,0.0204,VIX
